tp_pct,sl_pct,win_rate,exp_val_pct,trades,profit_factor
0.3,0.25,49.05465535263708,-0.1028411972576005,28787.0,0.46877436692486224
0.35,0.25,42.0777834199185,-0.1212216319675013,25601.0,0.44925399356864487
0.4,0.25,36.752064005447274,-0.13559877436377565,23498.0,0.43580944691158663
0.5,0.25,30.267911603246844,-0.14845047623516164,21313.0,0.439771334877363
0.6,0.25,26.378362312379256,-0.15182716599791943,20187.0,0.4572992584408134
0.07,0.3,81.82755692039684,-0.11496390585647215,46047.0,0.0
0.08,0.3,80.81086350655457,-0.11079708914910943,45890.0,0.0
0.1,0.3,78.5469781502145,-0.10403004067660983,44989.0,0.0
0.12,0.3,77.05047853926737,-0.09483041835418694,44197.0,0.039039410843541913
0.15,0.3,74.68757696371682,-0.0827027671187168,41957.0,0.2401675008375772
0.18,0.3,71.78598532759929,-0.0746593726283835,39530.0,0.3846092093273475
0.2,0.3,70.00578612382304,-0.0694702014623113,38022.0,0.46136742000027736
0.25,0.3,62.316301844996936,-0.07791289457576728,31190.0,0.51917463796179
0.3,0.3,54.57324062046306,-0.0943745701841522,26174.0,0.5168580202241477
0.35,0.3,47.48924589588272,-0.11419651479237997,22782.0,0.4942497118051977
0.4,0.3,41.924365260449534,-0.13024078838778583,20599.0,0.47846363496750643
0.5,0.3,35.03312696861084,-0.14448001520582168,18414.0,0.4828132867037707
0.6,0.3,30.801712170291534,-0.1481643336418325,17288.0,0.5020567291785331
0.07,0.35,86.08933667668165,-0.10551138545643479,44267.0,0.0
0.08,0.35,85.39433253670194,-0.09999522021167631,43935.0,0.0
0.1,0.35,83.92358337379717,-0.08975533731184311,42562.0,0.0
0.12,0.35,82.87003705379539,-0.07808032028909236,41521.0,0.050392960881153616
0.15,0.35,80.9385774486017,-0.06316632613970118,39155.0,0.3096186161541726
0.18,0.35,78.59012088137234,-0.0516838411965207,36468.0,0.4970795091237303
0.2,0.35,77.12209105006761,-0.04426018556711797,34822.0,0.5969530251506299
0.25,0.35,70.60696248196248,-0.045767180735930724,27720.0,0.675609255622718
0.3,0.35,63.642005408041136,-0.05678066403652644,22559.0,0.6746436336665854
0.35,0.35,56.87923873613374,-0.07331344303664372,19021.0,0.6457939628545882
0.4,0.35,51.288751633210595,-0.08764105000593893,16838.0,0.6251676420385273
0.5,0.35,44.02511431106258,-0.09918276120930865,14653.0,0.6308509611476876
0.6,0.35,39.365713018407625,-0.10012086937236636,13527.0,0.6559947268958791
